id,domain_url,organization,resource_count,center_lat,center_long,center_zoom,address
64,data.dupontwa.gov,"City of DuPont, WA",NULL,47.105968,-122.646032,NULL,NULL
65,data.edd.ca.gov,"Employment Development Department - State of California ",NULL,34.046500,-118.262250,NULL,NULL
66,data.edmonton.ca,"City of Edmonton, Canada",NULL,53.545710,-113.494631,NULL,NULL
67,data.energystar.gov,"Energy Star - Department of Energy",NULL,38.886999,-77.025371,NULL,NULL
68,data.exim.gov,"The Export-Import Bank of the United States (EXIM)",NULL,38.900764,-77.034347,NULL,NULL
69,data.fortworthtexas.gov,"City of Fort Worth, TX",NULL,32.749227,-97.330740,NULL,NULL
70,data.framinghamma.gov,"City of Framingham, MA",NULL,42.279802,-71.416879,NULL,NULL
71,data.ftb.ca.gov,"Franchise Tax Board - State of California",NULL,38.581491,-121.494350,NULL,NULL
72,data.fultoncountyga.gov,"Fulton County, GA",NULL,33.750892,-84.391678,NULL,NULL
73,data.gates.org,"Bill & Melinda Gates Foundation",NULL,47.623877,-122.347002,NULL,NULL
74,data.govloop.com,GovLoop,NULL,38.904925,-77.034882,NULL,"1152 15th St. NW Suite 800 Washington, D.C. 20005"
75,data.greensboro-nc.gov,"City of Greensboro, NC",NULL,36.071154,-79.792637,NULL,"300 West Washington Street, Greensboro, NC 27401"
76,data.gta.gov.zw,"Zimbabwe Government Portal",NULL,-19.016670,30.016670,NULL,NULL
77,data.hampton.gov,"City of Hampton, VA",NULL,37.028697,-76.343087,NULL,"22 Lincoln St Hampton, VA 23669"
78,data.hartford.gov,"City of Hartford, CT",NULL,41.762690,-72.673852,NULL,"550 Main St #1, Hartford, CT 06103"
79,data.hawaii.gov,"State of Hawaii",NULL,21.304275,-157.852142,NULL,"801 S Beretania St, Honolulu, HI 96813"
80,data.healthcare.gov,HealthCare,NULL,37.128970,-84.083260,NULL,"465 Industrial Blvd London, KY 40750-0001"
81,data.honolulu.gov,"City and County of Honolulu, HI",NULL,21.304275,-157.852142,NULL,"801 S Beretania St, Honolulu, HI 96813"
82,data.imls.gov,"Institute of Museum and Library Services",NULL,38.884663,-77.023740,NULL,"955 L'Enfant Plaza North, SW, Suite 4000, Washington, D.C. 20024-2135"
83,data.iowa.gov,"State of Iowa",NULL,41.589103,-93.616508,NULL,"400 Robert D. Ray Dr, Des Moines, IA 50309"
84,data.kcmo.org,"City of Kansas City, MO",NULL,39.100781,-94.577859,NULL,"City Hall, 414 E. 12th St. Kansas City, MO 64106"
85,data.kingcounty.gov,"King County, WA",NULL,47.602903,-122.329270,NULL,"500 Fourth Ave Seattle, WA 98104"
86,data.lacity.org,"City of Los Angeles, CA",NULL,34.054050,-118.243170,NULL,"200 N Spring St, Los Angeles, CA 90012"
87,data.lacounty.gov,"Los Angeles County, CA",NULL,34.054050,-118.243170,NULL,"200 N Spring St, Los Angeles, CA 90012"
88,data.lcb.wa.gov,"Washington State Liquor and Cannabis Board, WA",NULL,47.043515,-122.858160,NULL,"3000 Pacific Avenue SE, Olympia, WA 98504"
89,data.littlerock.gov,"City of Little Rock, AR",NULL,34.749117,-92.275713,NULL,"500 W Markham St, Little Rock, AR 72201"
90,data.livewellsd.org,"Live Well San Diego - County of San Diego, CA",NULL,32.717787,-117.163257,NULL,"202 W C St, San Diego, CA 92101"
91,data.macoupincountyil.gov,"Macoupin County, IL",NULL,39.279680,-89.880160,NULL,"201 E Main St, Carlinville, IL 62626"
92,data.maine.gov,"State of Maine",NULL,44.315557,-69.770326,NULL,"16 Cony St, Augusta, ME 04330"
93,data.map.uncdf.org,"United Nations Capital Development Fund (UNCDF)",NULL,40.751045,-73.969360,NULL,"Two UN Plaza, 26th Floor; New York, NY 10017"
94,data.marincounty.org,"Marin County, CA",NULL,37.998617,-122.531068,NULL,"3501 Civic Center Dr #234, San Rafael, CA 94903"
95,data.maryland.gov,"State of Maryland",NULL,38.978891,-76.491100,NULL,"100 State Circle Annapolis, Maryland 21401-1925"
96,data.mass.gov,"State of Massachusetts",NULL,42.358310,-71.063750,NULL,"24 Beacon St. Boston, MA"
97,data.medicaid.gov,Medicaid,NULL,39.317948,-76.763985,NULL,"7500 Security Boulevard Baltimore, Maryland 21244-1850"
98,data.medicare.gov,Medicare,NULL,38.960000,-95.240000,NULL,"Lawrence, KS 66044"
99,data.melbourne.vic.gov.au,"City of Melbourne, Australia",NULL,-37.814812,144.966508,NULL,"90-130 Swanston St, Melbourne VIC 3000, Australia"
100,data.memphistn.gov,"City of Memphis, TN",NULL,35.149102,-90.052098,NULL,"125 N Main St #514, Memphis, TN 38103"
101,data.menlopark.org,"City of Menlo Park, CA",NULL,37.453279,-122.177244,NULL,"701 Laurel St, Menlo Park, CA 94025"
102,data.mesaaz.gov,"City of Mesa, AZ",NULL,33.415496,-111.830708,NULL,"20 E Main St, Mesa, AZ 85201"
103,data.miamigov.com,"City of Miami, FL",NULL,25.727684,-80.233779,NULL,"3500 Pan American Dr, Miami, FL 33133"
104,data.michigan.gov,"State of Michigan",NULL,42.599180,-84.371970,NULL,"430 W. Allegan Lansing, MI 48918"
105,data.mo.gov,"State of Missouri",NULL,38.578854,-92.173308,NULL,"201 W Capitol Ave #216, Jefferson City, MO 65101"
106,data.monroecounty-fl.gov,"Monroe County, FL",NULL,24.710870,-81.095410,NULL,"3117 Overseas Hwy, Marathon, FL 33050"
107,data.montgomeryal.gov,"City of Montgomery, AL",NULL,32.379258,-86.307863,NULL,"103 N Perry St, Montgomery, AL 36104"
108,data.montgomerycountymd.gov,"Montgomery County, MD",NULL,39.083283,-77.150677,NULL,"50 Maryland Ave, Rockville, MD 20850"
109,data.montgomeryschoolsmd.org,"Montgomery County Public Schools, MD",NULL,39.095129,-77.158098,NULL,"850 Hungerford Drive, Room 123. Rockville, Maryland 20850"
110,data.muni.org,"Municipality of Anchorage (city), AK",NULL,61.216500,-149.896577,NULL,"700 W 6th Ave, Anchorage, AK 99501"
111,data.naperville.il.us,"City of Naperville, IL",NULL,41.770501,-88.152313,NULL,"400 S Eagle St, Naperville, IL 60540"
112,data.nasa.gov,"National Aeronautics and Space Administration NASA",NULL,38.883180,-77.015260,NULL,"300 E. Street SW, Suite 5R30 Washington, DC 20546"
113,data.nashville.gov,"Nashville and Davidson County, TN",NULL,36.104244,-86.815949,NULL,"4009 Hillsboro Pike #207, Nashville, TN 37215"
114,data.nationalservice.gov,"Corporation for National and Community Service",NULL,38.883003,-77.014924,NULL,"250 E St SW, Washington, DC 20024"
115,data.nj.gov,"State of New Jersey",NULL,40.219900,-74.764060,NULL,"125 W State St, Trenton, NJ 08608"
116,data.nlc.org,"National League of Cities",NULL,38.898611,-77.009436,NULL,"660 North Capitol Street  washington dc"
117,data.nola.gov,"City of New Orleans, LA",NULL,29.952034,-90.077014,NULL,"1300 Perdido St, New Orleans, LA 70112"
118,data.norfolk.gov,"City of Norfolk, VA",NULL,36.844580,-76.285720,NULL,"810 Union St, Norfolk, VA 23510"
119,data.novascotia.ca,"Nova Scotia Provinces, Canada",NULL,44.643432,-63.571463,NULL,"1451 Barrington Street, Halifax, Nova Scotia, Canada B3J 1Z2 "
120,data.ny.gov,"State of New York",NULL,42.649990,-73.753659,NULL,"110 State St, Albany, NY 12207"
121,data.oaklandnet.com,"City of Oakland, CA",NULL,37.806068,-122.272439,NULL,"1 Frank H Ogawa Plaza, Oakland, CA 94612"
122,data.oce.gov.pr,"Oficina del Contralor Electoral (OCE)",NULL,18.420000,-66.070000,NULL,"235 Arterial Hostos Avenue Capital Center Building, North Tower 16th Floor, 00918, Puerto Rico"
123,data.opendatanetwork.com,"Open Data Network",NULL,34.051686,-118.247424,NULL,"233 South Broadway, Los Angeles, California 90012, United States"
124,data.orcities.org,"League of Oregon Cities, OR",NULL,44.938361,-123.026040,NULL,"1201 Court St NE #200, Salem, OR 97301"
125,data.oregon.gov,"State of Oregon",NULL,44.938511,-123.030579,NULL,"900 Court St NE, Salem, OR 97301"
126,data.oxnard.org,"City Of Oxnard, CA",NULL,34.199944,-119.180177,NULL,"300 3rd Street, Oxnard, CA 93030"
127,data.pa.gov,"State of Pennsylvania",NULL,40.261620,-76.886550,NULL,"225 Capitol Bldg, Harrisburg, PA 17120"
128,data.permits.performance.gov,"Permitting Dashboard - Performance",NULL,38.875898,-77.003290,NULL,"1200 New Jersey Avenue, SE Washington, DC 20590"
129,data.policefoundation.org,"Police Foundation",NULL,38.906095,-77.040804,NULL,"1201 Connecticut Ave NW, Suite 200. Washington, DC 20036"
130,data.portmoody.ca,"City of Port Moody, Canada",NULL,49.281795,-122.829447,NULL,"100 Newport Dr, Port Moody, BC V3H 5C3, Canada"
131,data.pr.gov,"Estado Libre Asociado de Puerto Rico",NULL,18.470000,-66.120000,NULL,"Avenida Juan Ponce de León San Juan Antiguo, PR, 00901"
132,data.princeedwardisland.ca,"Prince Edward Island Provinces, Canada",NULL,46.232794,-63.133317,NULL,"11 Kent Street, Charlottetown, PE C1A 7N8"
133,data.princegeorgescountymd.gov,"Prince George's County, MD",NULL,38.815745,-76.751142,NULL,"14735 Main St, Upper Marlboro, MD 20772"
134,data.providenceri.gov,"City of Providence, RI",NULL,41.824142,-71.412913,NULL,"25 Dorrance St, Providence, RI 02903"
135,data.qac.org,"Queen Anne's County, MD",NULL,39.045260,-76.064890,NULL,"120 Broadway, Centreville, MD 21617"
136,data.raleighnc.gov,"City of Raleigh, NC",NULL,35.779064,-78.642610,NULL,"222 W Hargett St, Raleigh, NC 27601"
137,data.readingpa.gov,"City of Reading, PA",NULL,40.336950,-75.921230,NULL,"815 Washington St, Reading, PA 19601"
138,data.redmond.gov,"City of Redmond, WA",NULL,47.679072,-122.131115,NULL,"15670 NE 85th St, Redmond, WA 98052"
139,data.richmondgov.com,"City of Richmond, VA",NULL,37.540390,-77.433250,NULL,"900 E Broad St, Richmond, VA 23219"
140,data.roseville.ca.us,"City of Roseville, CA",NULL,38.748373,-121.284270,NULL,"311 Vernon St, Roseville, CA 95678"
141,data.rutlandcitypolice.com,"City of Rutland, VT",NULL,43.605193,-72.977877,NULL,"1 Strongs Ave, Rutland, VT 05701"
142,data.safest.org,"Safe Streets",NULL,47.257042,-122.445870,NULL,"622 Tacoma Ave South 1st Floor Tacoma, WA 98402"
143,data.sandiegocounty.gov,"San Diego County, CA",NULL,32.722480,-117.172060,NULL,"1600 Pacific Hwy #260, San Diego, CA 92101"
144,data.sccgov.org,"County of Santa Clara, CA",NULL,37.352346,-121.903833,NULL,"70 W Hedding St 1st Floor, San Jose, CA 95110"
145,data.seattle.gov,"City of Seattle, WA",NULL,47.603953,-122.330498,NULL,"600 4th Ave, Seattle, WA 98104"
