id,domain_url,organization,resource_count,center_lat,center_long,center_zoom,address
225,performance.fultoncountyga.gov,"Fulton County, GA",NULL,NULL,NULL,NULL,NULL
226,performance.glendaleca.gov,"City of Glendale, CA",NULL,NULL,NULL,NULL,NULL
227,performance.greensboro-nc.gov,"City of Greensboro, NC",NULL,NULL,NULL,NULL,NULL
228,performance.princegeorgescountymd.gov,"Prince George's County, MD",NULL,NULL,NULL,NULL,NULL
229,performance.providenceri.gov,"City of Providence, RI",NULL,NULL,NULL,NULL,NULL
230,performance.sandiegocounty.gov,"San Diego County, CA",NULL,NULL,NULL,NULL,NULL
231,performance.seattle.gov,"City of Seattle, WA",NULL,NULL,NULL,NULL,NULL
232,performance.smcgov.org,"County of San Mateo, CA",NULL,NULL,NULL,NULL,NULL
233,performance.topeka.org,"City of Topeka, KS",NULL,NULL,NULL,NULL,NULL
234,performance.vbgov.com,"City of Virginia Beach, VA",NULL,NULL,NULL,NULL,NULL
235,performance.williamsburgva.gov,"City of Williamsburg, VA",NULL,NULL,NULL,NULL,NULL
236,perspectives.dnrec.delaware.gov,"State of Delaware",NULL,NULL,NULL,NULL,NULL
237,pip.nashville.gov,"Nashville City and Davidson County, TN",NULL,NULL,NULL,NULL,NULL
238,policeview.johnscreekga.gov,"City of Johns Creek, GA",NULL,NULL,NULL,NULL,NULL
239,reportcard.santamonicayouth.net,"City of Santa Monica, CA",NULL,NULL,NULL,NULL,NULL
240,reports.awcnet.org,"Association of Washington Cities, WA",NULL,NULL,NULL,NULL,NULL
241,reports.data.imls.gov,"Institute of Museum and Library Services (IMLS)",NULL,NULL,NULL,NULL,NULL
242,results.livewellsd.org,"County of San Diego, CA",NULL,NULL,NULL,NULL,NULL
243,ship.dfs.ny.gov,"State of New York",NULL,NULL,NULL,NULL,NULL
244,stat.cityofgainesville.org,"City of Gainesville, FL",NULL,NULL,NULL,NULL,NULL
245,stat.montgomerycountymd.gov,"Montgomery County, MD",NULL,NULL,NULL,NULL,NULL
246,stat.stpete.org,"City of St. Petersburg, FL",NULL,NULL,NULL,NULL,NULL
247,stats.cityofcarrollton.com,"City of Carrollton, TX",NULL,NULL,NULL,NULL,NULL
248,strategicplanning1.aspe.hhs.gov,"U.S. Department of Health and Human Services",NULL,NULL,NULL,NULL,NULL
249,sustainability.metroairports.org,"Metropolitan Airports Commission",NULL,NULL,NULL,NULL,NULL
250,tni.princegeorgescountymd.gov,"Prince George's County, MD",NULL,NULL,NULL,NULL,NULL
251,transparencyarchive.michigan.gov,"State of Michigan",NULL,NULL,NULL,NULL,NULL
252,uspto.data.commerce.gov,"U.S. Patent and Trademark Office",NULL,NULL,NULL,NULL,NULL
253,www.dallasopendata.com,"City of Dallas, TX",NULL,NULL,NULL,NULL,NULL
254,www.data.act.gov.au,"ACT Government Australia",NULL,NULL,NULL,NULL,NULL
255,www.datos.gov.co,"Datos Abiertos Colombia",NULL,NULL,NULL,NULL,NULL
256,www.forsythfutures.org,"Forsyth Futures",NULL,NULL,NULL,NULL,NULL
257,www.mdchildhungerpartnership.org,"The Partnership to End Childhood Hunger in Maryland",NULL,NULL,NULL,NULL,NULL
258,www.metrochicagodata.org,"Metro Chicago Data, IL",NULL,NULL,NULL,NULL,NULL
259,www.opendatanyc.com,"New York City, NY",NULL,NULL,NULL,NULL,NULL
260,www.pivcide.pr,"Puerto Rico",NULL,NULL,NULL,NULL,NULL
261,www.sudandata.org,Sudan,NULL,NULL,NULL,NULL,NULL
262,www.thedatazone.ca,"datazONE Canada",NULL,NULL,NULL,NULL,NULL
263,dashboard.udot.utah.gov,"Utah State Department of Transportation",NULL,NULL,NULL,NULL,NULL
264,data.usaid.gov,"US aid",NULL,NULL,NULL,NULL,NULL
265,internal.open.piercecountywa.gov,"Pierce County, WA",NULL,NULL,NULL,NULL,NULL
266,idp.nz,"Internet New Zealand",NULL,NULL,NULL,NULL,NULL
267,data.oce.pr.gov,"Puerto Rico",NULL,NULL,NULL,NULL,NULL
268,data.pinellas.gov,"Pinellas County FL",NULL,NULL,NULL,NULL,NULL
269,fiscalfocus.pittsburghpa.gov,"Pittsburgh City Controller",NULL,NULL,NULL,NULL,NULL
270,highways.hidot.hawaii.gov,"Hawaii State Department of Transportation",NULL,NULL,NULL,NULL,NULL
271,opendata.maryland.gov,"State of Maryland",NULL,NULL,NULL,NULL,NULL
